id,filepath,start_time,end_time,low_freq,high_freq,ebird_code,call_type,sex,lat,long,microphone,license,source,local_time
0,Data/Zenodo/NES_001_S01_20190914_043000.flac,29.7,33.0,0,3098,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:30:29
1,Data/Zenodo/NES_001_S01_20190914_043000.flac,53.8,57.0,0,4084,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:30:53
2,Data/Zenodo/NES_001_S01_20190914_043000.flac,75.4,78.4,0,3662,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:31:15
3,Data/Zenodo/NES_001_S01_20190914_043000.flac,99.1,102.1,0,3521,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:31:39
4,Data/Zenodo/NES_001_S01_20190914_043000.flac,122.7,126.4,0,3239,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:32:02
5,Data/Zenodo/NES_001_S01_20190914_043000.flac,152.6,156.2,0,3380,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:32:32
6,Data/Zenodo/NES_001_S01_20190914_043000.flac,172.7,176.3,0,3662,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:32:52
7,Data/Zenodo/NES_001_S01_20190914_043000.flac,192.8,196.4,0,2676,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:33:12
8,Data/Zenodo/NES_001_S01_20190914_043000.flac,215.1,218.9,0,3662,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:33:35
9,Data/Zenodo/NES_001_S01_20190914_043000.flac,239.5,243.7,0,3098,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:33:59
10,Data/Zenodo/NES_001_S01_20190914_043000.flac,261.3,264.8,0,2957,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:34:21
11,Data/Zenodo/NES_001_S01_20190914_043000.flac,287.0,290.4,0,2676,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:34:47
12,Data/Zenodo/NES_001_S01_20190914_043000.flac,310.2,313.8,0,3098,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:35:10
13,Data/Zenodo/NES_001_S01_20190914_043000.flac,333.3,337.1,0,2816,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:35:33
14,Data/Zenodo/NES_001_S01_20190914_043000.flac,359.5,363.7,0,2535,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:35:59
15,Data/Zenodo/NES_001_S01_20190914_043000.flac,383.4,387.0,0,2676,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:36:23
16,Data/Zenodo/NES_001_S01_20190914_043000.flac,406.8,411.1,0,2676,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:36:46
17,Data/Zenodo/NES_001_S01_20190914_043000.flac,435.6,439.2,0,2253,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:37:15
18,Data/Zenodo/NES_001_S01_20190914_043000.flac,458.8,462.5,0,2535,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:37:38
19,Data/Zenodo/NES_001_S01_20190914_043000.flac,483.5,486.4,0,2957,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:38:03
20,Data/Zenodo/NES_001_S01_20190914_043000.flac,508.4,512.0,0,2535,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:38:28
21,Data/Zenodo/NES_001_S01_20190914_043000.flac,534.1,538.1,0,2676,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:38:54
22,Data/Zenodo/NES_001_S01_20190914_043000.flac,559.3,562.8,0,2253,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:39:19
23,Data/Zenodo/NES_001_S01_20190914_043000.flac,590.1,593.0,0,2253,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:39:50
24,Data/Zenodo/NES_001_S01_20190914_043000.flac,613.6,617.0,0,2253,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:40:13
25,Data/Zenodo/NES_001_S01_20190914_043000.flac,640.8,644.4,0,2535,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:40:40
26,Data/Zenodo/NES_001_S01_20190914_043000.flac,681.2,684.9,0,2253,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:41:21
27,Data/Zenodo/NES_001_S01_20190914_043000.flac,727.6,731.3,0,3098,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:42:07
28,Data/Zenodo/NES_001_S01_20190914_043000.flac,754.2,757.9,0,3521,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:42:34
29,Data/Zenodo/NES_001_S01_20190914_043000.flac,778.9,781.8,0,2394,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:42:58
30,Data/Zenodo/NES_001_S01_20190914_043000.flac,811.3,814.9,0,2816,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:43:31
31,Data/Zenodo/NES_001_S01_20190914_043000.flac,843.7,847.4,0,2535,compot1,,,5.59,-75.85,Soundscape,Creative Commons Attribution 4.0 International Public License,https://zenodo.org/record/7525349,2023-08-31 04:44:03
