Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species
1	Spectrogram 1	1	0.554435957	2.00561181	1065.7	1782.6	AMCR
2	Spectrogram 1	1	3.279433255	4.49919236	1976.4	7130.4	EATO
3	Spectrogram 1	1	4.142424875	5.400753438	2383.3	5580.3	EATO
4	Spectrogram 1	1	5.693290867000001	9.072939614	1356.3	5425.3	NOCA
5	Spectrogram 1	1	6.037149492999999	6.490340623	1976.4	4708.4	EATO
6	Spectrogram 1	1	7.067511495	7.281511147000001	2813.8	4144.0	EATO
7	Spectrogram 1	1	9.695040211	9.99395351	2693.3	4165.9	EATO
8	Spectrogram 1	1	10.143410159	11.134926222999999	2247.6	7459.8	EATO
9	Spectrogram 1	1	10.408575182	11.718561637	2208.9	4689.0	EATO
10	Spectrogram 1	1	11.584943647000001	12.746848565999999	1278.8	1763.2	AMCR
11	Spectrogram 1	1	12.505610965999999	12.712921802	2964.5	4204.6	EATO
12	Spectrogram 1	1	14.033925734	14.583540509	1860.1	4224.0	BLJA
13	Spectrogram 1	1	14.265342482000001	14.583540509	2383.3	4456.5	EATO
14	Spectrogram 1	1	14.580793885	15.422201606	2660.3	4246.3	EATO
15	Spectrogram 1	1	15.062293101	15.779193702999999	2828.9	5425.3	COYE
16	Spectrogram 1	1	16.758576454	17.910839008	2305.8	5657.8	EATO
17	Spectrogram 1	1	17.2889065	18.383314867	2092.6	5774.1	EATO
18	Spectrogram 1	1	19.318624221	19.810384809000002	1840.7	4708.4	EATO
19	Spectrogram 1	1	23.335520011999996	24.598669758000003	2363.9	5522.2	EATO
20	Spectrogram 1	1	23.918883063000003	25.071145617	1104.4	1860.1	AMCR
21	Spectrogram 1	1	24.015306706999997	24.719199313	6064.7	7653.6	BCCH
22	Spectrogram 1	1	25.339577276999997	26.670223574	2267.0	6103.5	EATO
23	Spectrogram 1	1	25.937403874	26.911282686	2112.0	5502.8	COYE
24	Spectrogram 1	1	26.674568405	27.015022396	2506.8	4747.1	EATO
25	Spectrogram 1	1	27.970388233	29.614411375	1026.9	1763.2	AMCR
26	Spectrogram 1	1	29.315498076	30.559363091999998	2422.0	5696.6	EATO
27	Spectrogram 1	1	30.209822181	32.856651228000004	1860.1	3313.3	NOCA
28	Spectrogram 1	1	31.849322936999997	32.082777102	5678.8	10334.3	BGGN
29	Spectrogram 1	1	32.630055663	33.131458615	1511.3	4708.4	EATO
30	Spectrogram 1	1	33.073604429	33.902847773000005	1201.3	1898.9	AMCR
31	Spectrogram 1	1	34.709529352	36.040175649	2363.9	5812.8	EATO
32	Spectrogram 1	1	36.011248555	36.23784412	2732.0	4320.9	BCCH
33	Spectrogram 1	1	36.618717517	37.804728347	2363.9	5754.7	EATO
34	Spectrogram 1	1	37.873769044	40.081870507	5347.8	8854.9	BCCH
35	Spectrogram 1	1	40.265243522	41.885160753	2383.3	5328.4	COYE
36	Spectrogram 1	1	41.418535412	43.96894081399999	1433.8	2848.3	NOCA
37	Spectrogram 1	1	42.545662719	43.803991282	2402.6	5677.2	EATO
38	Spectrogram 1	1	42.56976863	42.955463208999994	2112.0	4727.8	EATO
39	Spectrogram 1	1	44.479986131000004	45.477970853	2867.7	5541.6	EATO
40	Spectrogram 1	1	48.270286356999996	49.457422218999994	1586.0	3410.2	EATO
41	Spectrogram 1	1	48.815079948999994	49.706998663	6200.4	8680.5	BCCH
42	Spectrogram 1	1	48.959715416	50.251792255	2344.5	5638.4	EATO
43	Spectrogram 1	1	54.471522957	54.792522434	2865.0	4246.3	EATO
44	Spectrogram 1	1	55.169387736000004	56.095054725	2402.6	4902.2	COYE
45	Spectrogram 1	1	55.584009408	56.847159153	2402.6	5619.1	EATO
46	Spectrogram 1	1	60.322452393	60.97103725	6256.0	7794.4	BCCH
47	Spectrogram 1	1	61.91679516399999	63.189587273	2413.5	5638.0	EATO
48	Spectrogram 1	1	63.184587603000004	64.35131370399999	2838.3	5638.0	EATO
49	Spectrogram 1	1	64.264532423	64.510412717	2934.9	4093.3	BCCH
50	Spectrogram 1	1	65.884449654	66.419600882	1757.0	4479.5	EATO
51	Spectrogram 1	1	68.02969726	69.398913015	2259.1	5483.5	EATO
52	Spectrogram 1	1	68.140584452	69.418197744	2394.2	5580.1	EATO
53	Spectrogram 1	1	69.53872729999999	71.235783446	2027.4	5000.8	COYE
54	Spectrogram 1	1	72.353257991	72.864303307	1428.8	4672.6	EATO
55	Spectrogram 1	1	73.534447638	73.939426946	2741.8	4228.5	EATO
56	Spectrogram 1	1	75.051565497	76.348463518	2066.0	7086.1	EATO
57	Spectrogram 1	1	75.201022147	76.493098985	2336.3	5483.5	EATO
58	Spectrogram 1	1	75.519220174	76.04955022	1911.5	4595.4	EATO
59	Spectrogram 1	1	77.553759077	77.92499010899999	3012.1	4325.0	EATO
60	Spectrogram 1	1	78.675193415	79.99619734699999	984.7	1776.4	AMCR
61	Spectrogram 1	1	81.278631822	82.426073194	2355.6	5599.4	EATO
62	Spectrogram 1	1	82.16899599	83.412861007	2143.2	7047.5	EATO
63	Spectrogram 1	1	82.212386631	82.762001405	1235.7	4228.5	EATO
